JD,Ymd,n_g,n_s,Wn,s_g,s_s,Ws,Wolf
2455928,2012-01-1,5,28,79,3,8,35,114.19
2455959,2012-02-1,3,9,43,1,5,19,61.76
2455988,2012-03-1,3,19,53,3,11,43,96.65
2456019,2012-04-1,3,16,48,4,21,57,104.80
2456049,2012-05-1,4,30,71,5,17,66,136.32
2456080,2012-06-1,3,17,51,4,27,69,120.00
2456110,2012-07-1,3,9,36,5,39,92,127.68
2456141,2012-08-1,4,15,55,4,16,52,107.35
2456172,2012-09-1,4,17,59,4,18,55,114.10
2456202,2012-10-1,3,15,45,4,12,48,92.45
2456233,2012-11-1,4,22,65,3,12,42,106.47
2456263,2012-12-1,4,17,53,2,6,22,75.32
2456294,2013-01-1,5,29,79,3,9,41,119.58
2456325,2013-02-1,3,12,43,2,9,33,76.07
2456353,2013-03-1,4,13,51,3,14,41,92.45
2456384,2013-04-1,4,31,69,4,20,61,130.37
2456415,2013-05-2,2,4,27,69,5,23,69,138.19
2456445,2013-06-1,2,10,31,4,18,60,91.73
2456475,2013-07-1,2,8,29,4,31,72,101.03
2456506,2013-08-1,3,11,41,5,21,67,107.55
2456537,2013-09-1,2,10,30,3,7,39,69.07
2456567,2013-10-1,3,19,52,5,30,81,133.16
2456598,2013-11-1,3,13,41,5,48,102,142.73
2456628,2013-12-1,2,10,33,7,52,125,158.58
2456659,2014-01-1,4,17,54,8,50,128,182.52
2456690,2014-02-1,3,22,52,9,78,164,215.36
2456718,2014-03-1,4,24,62,8,50,129,191.77
2456749,2014-04-1,5,22,70,5,40,92,161.97
2456779,2014-05-1,4,18,57,7,35,107,163.81
2456810,2014-06-1,4,16,51,6,30,86,137.20
2456840,2014-07-1,3,21,55,6,38,93,147.97
2456871,2014-08-1,4,27,71,4,25,68,139.48
2456902,2014-09-1,4,24,66,6,45,110,175.80
2456932,2014-10-1,3,13,47,6,43,98,144.48
2456963,2014-11-1,4,25,68,5,42,95,163.03
2456993,2014-12-1,4,16,56,6,48,107,163.16
2457024,2015-01-1,3,18,48,5,39,90,137.77
2457055,2015-02-1,4,29,66,3,17,52,117.57
2457083,2015-03-1,3,10,38,4,26,68,106.68
2457114,2015-04-1,5,25,77,4,16,55,131.87
2457144,2015-05-1,4,25,67,5,20,66,133.39
2457175,2015-06-1,4,27,63,3,14,42,105.17
2457205,2015-07-1,3,19,53,3,13,44,97.23
2457236,2015-08-1,3,10,38,2,22,45,82.48
2457267,2015-09-1,3,16,44,3,19,50,94.13
2457297,2015-10-1,3,15,41,3,12,41,81.81
2457328,2015-11-1,4,28,71,2,5,21,92.10
2457358,2015-12-1,2,11,35,3,13,38,73.39
2457389,2016-01-1,4,16,54,2,8,27,81.29
2457420,2016-02-1,4,20,62,2,9,26,88.66
2457449,2016-03-1,4,12,51,1,3,13,64.65
2457480,2016-04-1,3,12,39,1,2,13,51.60
2457510,2016-05-1,2,13,38,2,6,22,59.81
2457541,2016-06-1,2,5,20,1,2,12,32.13
2457571,2016-07-1,2,11,34,1,3,11,44.94
2457602,2016-08-1,4,14,51,1,3,13,63.77
2457633,2016-09-1,3,14,41,1,3,9,50.37
2457663,2016-10-1,2,10,34,1,3,8,42.19
2457694,2016-11-1,2,6,24,1,2,9,33.03
2457724,2016-12-1,1,3,16,1,4,10,26.35
2457755,2017-01-1,2,8,31,0,0,3,33.97
2457786,2017-02-1,2,6,23,0,1,6,28.75
2457814,2017-03-1,1,5,18,0,3,6,23.58
2457845,2017-04-1,2,7,25,1,6,16,40.47
2457875,2017-05-1,1,6,19,1,1,7,26.06
2457906,2017-06-1,2,8,28,0,0,3,30.13
2457936,2017-07-1,1,2,12,1,6,11,22.87
2457967,2017-08-1,1,13,26,1,2,9,34.97
2457998,2017-09-1,2,12,32,1,10,25,56.50
2458028,2017-10-1,1,2,11,1,1,7,17.84
2458059,2017-11-1,1,1,7,0,1,5,11.93
2458089,2017-12-1,1,4,10,0,0,2,12.39
2458120,2018-01-1,0,1,3,1,2,8,11.48
2458151,2018-02-1,0,1,3,1,6,13,16.07
2458179,2018-03-1,0,0,2,0,0,2,4.26
2458210,2018-04-1,1,3,9,0,0,3,11.77
2458240,2018-05-1,1,3,13,0,1,4,16.68
2458271,2018-06-1,1,6,17,0,0,0,17.20
2458301,2018-07-1,0,0,2,0,0,1,3.03
2458332,2018-08-1,0,1,3,1,2,8,10.94
2458363,2018-09-1,0,1,3,0,1,3,5.33
2458393,2018-10-1,0,0,1,1,1,6,7.23
2458424,2018-11-1,1,2,8,0,0,0,8.43
2458454,2018-12-1,0,1,5,0,1,3,7.87
2458485,2019-01-1,1,4,10,0,0,0,9.94
2458516,2019-02-1,0,0,2,0,0,2,3.71
2458544,2019-03-1,1,4,13,0,0,1,13.84
2458575,2019-04-1,1,3,11,0,0,0,10.67
2458605,2019-05-1,1,3,14,0,0,0,13.65
2458636,2019-06-1,0,1,5,0,0,0,5.67
2458666,2019-07-1,0,0,1,0,0,0,1.19
2458697,2019-08-1,0,0,0,0,0,0,0.00
